time,APSP_mp,CAINCMD_mp,F_FC_mp,F_VTC_mp,GAIRCYL_mp,IGLOG_mp,INTA_mp,KCMD_mp,LCMD_mp,NE_mp,PBA_mp,TH10M_mp,THO_mp,TOTALEGRAVE_mp,TOUT_mp[0],TRQCRKENG_mp,VP_mp,TA_mp
0,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
0.1,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
0.2,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
0.3,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
0.4,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
0.5,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
0.6,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
0.7,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
0.8,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
0.9,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
1,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
1.1,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
1.2,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
1.3,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
1.4,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
1.5,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
1.6,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
1.7,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
1.8,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
1.9,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
2,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
2.1,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
2.2,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
2.3,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
2.4,0,0,0,1,0,0,43,1,0,0,748.7,0.545,0,0,0,0,0,40.4
2.5,0,0,0,1,0,0,43,1,0,0,748.7,0.545,0,0,0,0,0,40.4
2.6,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
2.7,0,0,0,1,0,0,43,1,0,0,748.7,0.545,0,0,0,0,0,40.4
2.8,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
2.9,0,0,0,1,0,0,43,1,0,0,748.7,0.515,0,0,0,0,0,40.4
3,0,0,0,1,0,0,43,1,0,0,748.7,7.415,0,0,0,0,0,40.4
3.1,0,0,0,1,0,0,43,1,0,0,748.7,7.505,0,0,0,0,0,40.4
3.2,0,0,0,1,0,0,43,1,0,0,748.7,7.535,0,0,0,0,0,40.4
